record_id;family;genus;epithet;author;commonname;project;matrix_kind;localization;latitude;longitude;height;collector;collect_date;seed_size;fruit_mass;initial_mass;result_mass;weight_in_1000;seeds_in_kg;humidity;germinability;seed_handling;observations;storage;germinability_history;humidity_history;days_after_storage;test_date_storage;inserted_in_system
2661;Fabaceae;Mimosa;arenosa;(Willd.) Poir.;jurema, calumbí-roxo, espinheiro-branco;PRAD;matrix region;Pernambuco|Petrolina;-9.325880921;-40.54753052;386;A.R.S. Jesus;20/07/2022;S;1440;1380;1380;28.4992;35088.7;11.26;92;PY - mechanically scarified;Coleta realizada na UNIVASF/CCA. Sementes não retiradas dos frutos para o armazenamento. Antes do expurgo foram separadas 5 amostras de aproximadamente 5 g, destas foram pesadas apenas as sementes inteiras e as mesmas foram quantificadas. Amostra R1 = 5,0080 g: 3,2878 g (Massa da semente inteira), 106 (quantidade de sementes inteiras). Amostra R2 = 5,0071 g: 4,5227 g (Massa da semente inteira), 146 (quantidade de sementes inteiras), Amostra R3 = 5,0341 g: 2,9598 g (Massa da semente inteira), 112 (quantidade de sementes inteiras). Amostra R4 = 5,0204 g: 3,1589 g (Massa da semente inteira), 108 (quantidade de sementes inteiras). Amostra R5 = 5,0378 g: 4,4431 g (Massa da semente inteira), 138 (quantidade de sementes inteiras). As unidades de cada diásporo foram consideradas com as estruturas dos artículos.;Plastic bag;NA;NA;NA;NA;28/09/2022
2662;Fabaceae;Mimosa;tenuiflora;(Willd.) Poir.;jurema-preta;PISF;matrix region;Ceará|Mauriti;-7.489574179;-38.75019089;392;C.F. Araujo;04/08/2022;XS;1330;960;960;5.087;196579.52;5.79;76;PY - mechanically scarified;Sementes não retiradas dos frutos para o armazenamento. Antes do expurgo foram separadas 5 amostras de aproximadamente 5 g, destas foram pesadas apenas as sementes inteiras e as mesmas foram quantificadas. Amostra R1 = 5,0073 g: 0,6089 g (Massa da semente inteira), 105 (quantidade de sementes inteiras). Amostra R2 = 5,0093 g: 0,8261 g (Massa da semente inteira), 106 (quantidade de sementes inteiras), Amostra R3 = 5,0546 g: 0,7115 g (Massa da semente inteira), 78 (quantidade de sementes inteiras). Amostra R4 = 5,0178 g: 0,9580 g (Massa da semente inteira), 102 (quantidade de sementes inteiras). Amostra R5 = 5,0801 g: 0,5496 g (Massa da semente inteira), 74 (quantidade de sementes inteiras).;Plastic bag;NA;NA;NA;NA;28/09/2022
2663;Combretaceae;Combretum;leprosum;Mart.;mofumbo;RAP;deforested area;Ceará|Ipaumirim;-6.818369525;-38.66723017;328;M.L.C.B. Campello;18/08/2022;M;15360;13000;13000;157.6687;6342.41;10.6;39;ND;NA;Nylon bag;NA;NA;NA;NA;30/09/2022
2664;Fabaceae;Piptadenia;retusa;(Jacq.) P.G. Ribeiro, Seigler & Ebinger;jurema-branca;PISF;matrix region;Pernambuco|Salgueiro;-8.104902698;-39.14787019;453;L.S. de Lima;10/08/2022;S;9280;2376.7;2176.7;36.374;27492.16;8.26;64;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;30/09/2022
2665;Fabaceae;Pityrocarpa;moniliformis;(Benth.) Luckow & R.W.Jobson;angico-de-bezerro, canzenzo, quipembe, casqueiro;PRAD;matrix region;Pernambuco|Petrolina;-9.324411667;-40.5485618;388;R. Athayde;29/08/2022;S;5750;790.8;400.8;35.7573;27966.32;8.56;88;PY - mechanically scarified;Coleta realizada na UNIVASF/CCA.;Plastic bag;NA;NA;NA;NA;30/09/2022
2666;Fabaceae;Mimosa;arenosa;(Willd.) Poir.;jurema, calumbí-roxo, espinheiro-branco;PRAD;matrix region;Bahia|Remanso;-9.611358584;-42.1525021;409;R.M. Silva;15/07/2022;S;1780;1540;1540;28.79766667;34725.04;9.46;97;PY - mechanically scarified;Sementes não retiradas dos frutos para o armazenamento. Antes do expurgo foram separadas 5 amostras de aproximadamente 5 g, destas foram pesadas apenas as sementes inteiras e as mesmas foram quantificadas. Amostra R1 = 5,0144 g: 2,9312 g (Massa da semente inteira), 282 (quantidade de sementes inteiras). Amostra R2 = 5,0716 g: 4,7979 g (Massa da semente inteira), 403 (quantidade de sementes inteiras), Amostra R3 = 5,0449 g: 4,2413 g (Massa da semente inteira), 380 (quantidade de sementes inteiras). Amostra R4 = 5,0381 g: 4,8002 g (Massa da semente inteira), 420 (quantidade de sementes inteiras). Amostra R5 = 5,0218 g: 3,2264 g (Massa da semente inteira), 280 (quantidade de sementes inteiras). As unidades de cada diásporo foram consideradas com as estruturas dos artículos.;Plastic bag;NA;NA;NA;NA;07/10/2022
2667;Fabaceae;Mimosa;ophthalmocentra;Mart. ex Benth.;jurema-vermelha;PRAD;matrix region;Pernambuco|Lagoa Grande;-8.846911338;-40.22584914;420;C.F. Araujo;28/07/2022;XS;10120;9180;7960;11.4055;87677;5.7;80;PY - mechanically scarified;Antes do expurgo foram separadas 5 amostras de aproximadamente 5 g, destas foram pesadas apenas as sementes inteiras e as mesmas foram quantificadas. Amostra R1 = 5,0026 g: 3,9081 g (Massa da semente inteira), 302 (quantidade de sementes inteiras). Amostra R2 = 5,0033 g: 4,1300 g (Massa da semente inteira), 345 (quantidade de sementes inteiras), Amostra R3 = 5,0401 g: 4,0670 g (Massa da semente inteira), 315 (quantidade de sementes inteiras). Amostra R4 = 5,0091 g: 3,9941 g (Massa da semente inteira), 296 (quantidade de sementes inteiras). Amostra R5 = 5,0362 g: 4,0150 g (Massa da semente inteira), 306 (quantidade de sementes inteiras). As unidades de cada diásporo foram consideradas com as estruturas dos artículos.;Nylon bag;NA;NA;NA;NA;10/10/2022
2668;Fabaceae;Mimosa;ophthalmocentra;Mart. ex Benth.;jurema-vermelha;PISF;matrix region;Pernambuco|Salgueiro;-8.107307203;-39.19471657;467;L.S. de Lima;03/08/2022;XS;19840;19620;19620;11.4808;87101.94;6.61;86;PY - mechanically scarified;Antes do expurgo foram separadas 5 amostras de aproximadamente 5 g, destas foram pesadas apenas as sementes inteiras e as mesmas foram quantificadas. Amostra R1 = 5,0144 g: 2,9312 g (Massa da semente inteira), 282 (quantidade de sementes inteiras). Amostra R2 = 5,0716 g: 4,7979 g (Massa da semente inteira), 403 (quantidade de sementes inteiras), Amostra R3 = 5,0449 g: 4,2413 g (Massa da semente inteira), 380 (quantidade de sementes inteiras). Amostra R4 = 5,0381 g: 4,8002 g (Massa da semente inteira), 420 (quantidade de sementes inteiras). Amostra R5 = 5,0218 g: 3,2264 g (Massa da semente inteira), 280 (quantidade de sementes inteiras). As unidades de cada diásporo foram consideradas com as estruturas dos artículos.;Plastic bag;NA;NA;NA;NA;10/10/2022
2669;Fabaceae;Piptadenia;retusa;(Jacq.) P.G. Ribeiro, Seigler & Ebinger;jurema-branca;PISF;matrix region;Pernambuco|Salgueiro;-8.108971071;-39.12726717;434;E.S. Neto;20/07/2022;S;5000;4840;4840;11.708625;85407.13;6.73;78;PY - mechanically scarified;Antes do expurgo foram separadas 5 amostras de aproximadamente 5 g, destas foram pesadas apenas as sementes inteiras e as mesmas foram quantificadas. Amostra R1 = 5,0560 g: 2,9289 g (Massa da semente inteira), 258 (quantidade de sementes inteiras). Amostra R2 = 5,0340 g: 2,4772 g (Massa da semente inteira), 201 (quantidade de sementes inteiras), Amostra R3 = 5,0021 g: 2,5930 g (Massa da semente inteira), 200 (quantidade de sementes inteiras). Amostra R4 = 5,0411 g: 3,0119 g (Massa da semente inteira), 264 (quantidade de sementes inteiras). Amostra R5 = 5,0391 g: 3,0098 g (Massa da semente inteira), 261 (quantidade de sementes inteiras).;Plastic bag;NA;NA;NA;NA;10/10/2022
2670;Fabaceae;Mimosa;ophthalmocentra;Mart. ex Benth.;jurema-vermelha;Re-habitar;matrix region;Bahia|Curaçá;-9.196623318;-39.78565571;394;A.S. Medeiros;29/07/2022;XS;4215;800;800;14.6116;68438.77;7.91;61;PY - mechanically scarified;Coletado no Setor 08, na fazenda Altos Bonitos.;Plastic bag;NA;NA;NA;NA;10/10/2022
2671;Passifloraceae;Passiflora;cincinnata;Mast.;maracujá-do-mato;PRAD;matrix region;Pernambuco|Petrolina;-8.669757504;-40.60345324;457;R. Athayde;16/08/2022;S;18100;1362.6;1362.6;32.609;30666.38;6.65;50;PY+PD - mechanically scarified+gibberellic acid (GA3);Coleta realizada no Sítio Barreiro no Distrito do Caititu.;Plastic bag;NA;NA;NA;NA;10/10/2022
2672;Fabaceae;Senna;spectabilis;(DC.) H.S.Irwin & Barneby;canafístula;PRAD;matrix region;Pernambuco|Petrolina;-8.757817802;-40.4436174;447;R. Athayde;17/08/2022;S;13000;1673.6;1673.6;32.5225;30747.94;8.32;41;PY - mechanically scarified;Coleta realizada no Sítio Mirador.;Plastic bag;NA;NA;NA;NA;10/10/2022
2673;Fabaceae;Piptadenia;retusa;(Jacq.) P.G. Ribeiro, Seigler & Ebinger;jurema-branca;PISF;matrix region;Paraíba|Sousa;-6.756475378;-38.13042495;205;E.P. Silva;10/08/2022;S;13200;3150;2740;36.514375;27386.47;7.92;79;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;10/10/2022
